geoName,covid
Alabama,45
Alaska,94
Arizona,66
Arkansas,60
California,63
Colorado,77
Connecticut,74
Delaware,63
District of Columbia,91
Florida,56
Georgia,61
Hawaii,84
Idaho,69
Illinois,84
Indiana,60
Iowa,94
Kansas,60
Kentucky,65
Louisiana,48
Maine,66
Maryland,70
Massachusetts,83
Michigan,81
Minnesota,94
Mississippi,54
Missouri,65
Montana,100
Nebraska,73
Nevada,67
New Hampshire,85
New Jersey,71
New Mexico,76
New York,62
North Carolina,59
North Dakota,75
Ohio,59
Oklahoma,56
Oregon,72
Pennsylvania,69
Rhode Island,69
South Carolina,48
South Dakota,88
Tennessee,59
Texas,55
Utah,74
Vermont,81
Virginia,64
Washington,72
West Virginia,66
Wisconsin,73
Wyoming,83
