geoName,covid
Alabama,62
Alaska,94
Arizona,66
Arkansas,67
California,56
Colorado,66
Connecticut,52
Delaware,64
District of Columbia,74
Florida,51
Georgia,53
Hawaii,71
Idaho,65
Illinois,67
Indiana,62
Iowa,81
Kansas,61
Kentucky,64
Louisiana,56
Maine,70
Maryland,64
Massachusetts,65
Michigan,75
Minnesota,82
Mississippi,49
Missouri,67
Montana,92
Nebraska,65
Nevada,53
New Hampshire,70
New Jersey,57
New Mexico,67
New York,52
North Carolina,54
North Dakota,73
Ohio,53
Oklahoma,67
Oregon,71
Pennsylvania,64
Rhode Island,60
South Carolina,44
South Dakota,100
Tennessee,66
Texas,54
Utah,76
Vermont,77
Virginia,66
Washington,69
West Virginia,64
Wisconsin,71
Wyoming,76
