geoName,covid
Alabama,48
Alaska,100
Arizona,48
Arkansas,47
California,47
Colorado,53
Connecticut,44
Delaware,38
District of Columbia,38
Florida,44
Georgia,39
Hawaii,57
Idaho,51
Illinois,50
Indiana,46
Iowa,55
Kansas,51
Kentucky,49
Louisiana,43
Maine,57
Maryland,42
Massachusetts,47
Michigan,58
Minnesota,67
Mississippi,36
Missouri,51
Montana,83
Nebraska,51
Nevada,38
New Hampshire,64
New Jersey,47
New Mexico,56
New York,45
North Carolina,40
North Dakota,58
Ohio,42
Oklahoma,55
Oregon,56
Pennsylvania,47
Rhode Island,48
South Carolina,39
South Dakota,67
Tennessee,45
Texas,43
Utah,58
Vermont,71
Virginia,43
Washington,57
West Virginia,63
Wisconsin,56
Wyoming,66
