geoName,covid
Alabama,58
Alaska,98
Arizona,64
Arkansas,67
California,59
Colorado,80
Connecticut,64
Delaware,56
District of Columbia,61
Florida,55
Georgia,52
Hawaii,100
Idaho,84
Illinois,68
Indiana,63
Iowa,83
Kansas,65
Kentucky,65
Louisiana,60
Maine,70
Maryland,53
Massachusetts,63
Michigan,79
Minnesota,93
Mississippi,54
Missouri,82
Montana,92
Nebraska,63
Nevada,55
New Hampshire,91
New Jersey,64
New Mexico,77
New York,47
North Carolina,56
North Dakota,96
Ohio,57
Oklahoma,69
Oregon,84
Pennsylvania,66
Rhode Island,62
South Carolina,52
South Dakota,88
Tennessee,70
Texas,57
Utah,70
Vermont,99
Virginia,59
Washington,78
West Virginia,70
Wisconsin,78
Wyoming,79
