geoName,covid
Alabama,48
Alaska,79
Arizona,65
Arkansas,57
California,66
Colorado,79
Connecticut,65
Delaware,49
District of Columbia,92
Florida,55
Georgia,58
Hawaii,74
Idaho,67
Illinois,78
Indiana,63
Iowa,95
Kansas,66
Kentucky,60
Louisiana,47
Maine,76
Maryland,68
Massachusetts,81
Michigan,74
Minnesota,90
Mississippi,48
Missouri,57
Montana,80
Nebraska,90
Nevada,60
New Hampshire,75
New Jersey,70
New Mexico,71
New York,59
North Carolina,59
North Dakota,72
Ohio,58
Oklahoma,49
Oregon,72
Pennsylvania,68
Rhode Island,69
South Carolina,47
South Dakota,88
Tennessee,61
Texas,56
Utah,66
Vermont,100
Virginia,68
Washington,73
West Virginia,60
Wisconsin,76
Wyoming,64
