geoName,covid
Alabama,41
Alaska,77
Arizona,55
Arkansas,44
California,51
Colorado,58
Connecticut,58
Delaware,51
District of Columbia,67
Florida,45
Georgia,42
Hawaii,65
Idaho,59
Illinois,55
Indiana,45
Iowa,70
Kansas,48
Kentucky,45
Louisiana,39
Maine,67
Maryland,57
Massachusetts,62
Michigan,61
Minnesota,71
Mississippi,39
Missouri,54
Montana,62
Nebraska,54
Nevada,45
New Hampshire,67
New Jersey,56
New Mexico,51
New York,48
North Carolina,46
North Dakota,59
Ohio,45
Oklahoma,42
Oregon,53
Pennsylvania,52
Rhode Island,59
South Carolina,42
South Dakota,100
Tennessee,49
Texas,45
Utah,51
Vermont,71
Virginia,52
Washington,55
West Virginia,47
Wisconsin,60
Wyoming,62
