geoName,covid
Alabama,60
Alaska,92
Arizona,61
Arkansas,64
California,59
Colorado,68
Connecticut,59
Delaware,47
District of Columbia,63
Florida,53
Georgia,57
Hawaii,78
Idaho,73
Illinois,65
Indiana,60
Iowa,81
Kansas,57
Kentucky,62
Louisiana,56
Maine,68
Maryland,58
Massachusetts,60
Michigan,71
Minnesota,77
Mississippi,51
Missouri,66
Montana,88
Nebraska,78
Nevada,50
New Hampshire,76
New Jersey,55
New Mexico,65
New York,50
North Carolina,50
North Dakota,66
Ohio,53
Oklahoma,66
Oregon,70
Pennsylvania,62
Rhode Island,64
South Carolina,47
South Dakota,100
Tennessee,68
Texas,56
Utah,67
Vermont,82
Virginia,59
Washington,69
West Virginia,65
Wisconsin,71
Wyoming,94
