geoName,covid
Alabama,46
Alaska,77
Arizona,67
Arkansas,53
California,68
Colorado,79
Connecticut,70
Delaware,73
District of Columbia,84
Florida,55
Georgia,56
Hawaii,76
Idaho,57
Illinois,76
Indiana,68
Iowa,92
Kansas,73
Kentucky,61
Louisiana,43
Maine,71
Maryland,69
Massachusetts,78
Michigan,68
Minnesota,100
Mississippi,41
Missouri,59
Montana,71
Nebraska,70
Nevada,61
New Hampshire,84
New Jersey,64
New Mexico,73
New York,64
North Carolina,56
North Dakota,66
Ohio,56
Oklahoma,57
Oregon,73
Pennsylvania,63
Rhode Island,83
South Carolina,48
South Dakota,92
Tennessee,56
Texas,52
Utah,60
Vermont,86
Virginia,61
Washington,66
West Virginia,59
Wisconsin,71
Wyoming,85
