geoName,covid
Alabama,55
Alaska,95
Arizona,59
Arkansas,61
California,61
Colorado,71
Connecticut,61
Delaware,48
District of Columbia,59
Florida,50
Georgia,47
Hawaii,86
Idaho,66
Illinois,69
Indiana,58
Iowa,72
Kansas,67
Kentucky,56
Louisiana,51
Maine,63
Maryland,54
Massachusetts,59
Michigan,64
Minnesota,100
Mississippi,44
Missouri,70
Montana,78
Nebraska,68
Nevada,51
New Hampshire,73
New Jersey,51
New Mexico,67
New York,50
North Carolina,51
North Dakota,92
Ohio,51
Oklahoma,67
Oregon,81
Pennsylvania,60
Rhode Island,52
South Carolina,44
South Dakota,82
Tennessee,63
Texas,53
Utah,62
Vermont,80
Virginia,56
Washington,78
West Virginia,61
Wisconsin,81
Wyoming,81
