geoName,covid
Alabama,65
Alaska,75
Arizona,58
Arkansas,56
California,53
Colorado,68
Connecticut,55
Delaware,47
District of Columbia,61
Florida,51
Georgia,46
Hawaii,67
Idaho,66
Illinois,63
Indiana,54
Iowa,74
Kansas,59
Kentucky,53
Louisiana,50
Maine,66
Maryland,49
Massachusetts,57
Michigan,68
Minnesota,81
Mississippi,47
Missouri,62
Montana,100
Nebraska,58
Nevada,46
New Hampshire,73
New Jersey,48
New Mexico,59
New York,41
North Carolina,52
North Dakota,72
Ohio,52
Oklahoma,65
Oregon,73
Pennsylvania,57
Rhode Island,48
South Carolina,43
South Dakota,79
Tennessee,52
Texas,52
Utah,69
Vermont,68
Virginia,52
Washington,64
West Virginia,64
Wisconsin,72
Wyoming,83
