geoName,covid
Alabama,48
Alaska,83
Arizona,60
Arkansas,51
California,63
Colorado,70
Connecticut,65
Delaware,61
District of Columbia,65
Florida,52
Georgia,50
Hawaii,75
Idaho,54
Illinois,75
Indiana,51
Iowa,79
Kansas,56
Kentucky,54
Louisiana,42
Maine,68
Maryland,63
Massachusetts,77
Michigan,68
Minnesota,78
Mississippi,40
Missouri,56
Montana,65
Nebraska,70
Nevada,47
New Hampshire,86
New Jersey,66
New Mexico,73
New York,60
North Carolina,52
North Dakota,84
Ohio,49
Oklahoma,44
Oregon,68
Pennsylvania,57
Rhode Island,67
South Carolina,49
South Dakota,100
Tennessee,51
Texas,47
Utah,64
Vermont,80
Virginia,61
Washington,69
West Virginia,51
Wisconsin,66
Wyoming,68
