geoName,covid
Alabama,46
Alaska,79
Arizona,60
Arkansas,50
California,55
Colorado,66
Connecticut,67
Delaware,57
District of Columbia,72
Florida,51
Georgia,46
Hawaii,76
Idaho,53
Illinois,61
Indiana,53
Iowa,77
Kansas,55
Kentucky,52
Louisiana,44
Maine,63
Maryland,62
Massachusetts,69
Michigan,67
Minnesota,83
Mississippi,44
Missouri,53
Montana,77
Nebraska,60
Nevada,42
New Hampshire,60
New Jersey,61
New Mexico,62
New York,45
North Carolina,47
North Dakota,58
Ohio,51
Oklahoma,58
Oregon,57
Pennsylvania,54
Rhode Island,66
South Carolina,44
South Dakota,100
Tennessee,51
Texas,50
Utah,60
Vermont,70
Virginia,58
Washington,61
West Virginia,60
Wisconsin,68
Wyoming,82
