geoName,covid
Alabama,55
Alaska,82
Arizona,58
Arkansas,66
California,55
Colorado,64
Connecticut,57
Delaware,52
District of Columbia,74
Florida,53
Georgia,54
Hawaii,71
Idaho,72
Illinois,63
Indiana,59
Iowa,79
Kansas,56
Kentucky,56
Louisiana,51
Maine,65
Maryland,52
Massachusetts,62
Michigan,73
Minnesota,79
Mississippi,44
Missouri,60
Montana,89
Nebraska,68
Nevada,52
New Hampshire,77
New Jersey,55
New Mexico,79
New York,51
North Carolina,49
North Dakota,66
Ohio,54
Oklahoma,59
Oregon,65
Pennsylvania,58
Rhode Island,58
South Carolina,54
South Dakota,100
Tennessee,57
Texas,51
Utah,61
Vermont,72
Virginia,56
Washington,65
West Virginia,70
Wisconsin,63
Wyoming,66
