geoName,covid
Alabama,56
Alaska,74
Arizona,56
Arkansas,62
California,52
Colorado,66
Connecticut,55
Delaware,43
District of Columbia,52
Florida,52
Georgia,47
Hawaii,73
Idaho,57
Illinois,61
Indiana,54
Iowa,68
Kansas,51
Kentucky,56
Louisiana,45
Maine,61
Maryland,53
Massachusetts,58
Michigan,68
Minnesota,78
Mississippi,43
Missouri,58
Montana,79
Nebraska,59
Nevada,49
New Hampshire,80
New Jersey,53
New Mexico,60
New York,49
North Carolina,49
North Dakota,70
Ohio,50
Oklahoma,56
Oregon,65
Pennsylvania,54
Rhode Island,62
South Carolina,43
South Dakota,100
Tennessee,55
Texas,48
Utah,62
Vermont,79
Virginia,52
Washington,55
West Virginia,62
Wisconsin,65
Wyoming,61
