geoName,covid
Alabama,49
Alaska,93
Arizona,66
Arkansas,60
California,65
Colorado,73
Connecticut,68
Delaware,75
District of Columbia,93
Florida,55
Georgia,55
Hawaii,70
Idaho,59
Illinois,76
Indiana,62
Iowa,100
Kansas,63
Kentucky,64
Louisiana,47
Maine,76
Maryland,65
Massachusetts,79
Michigan,76
Minnesota,96
Mississippi,45
Missouri,61
Montana,81
Nebraska,83
Nevada,64
New Hampshire,98
New Jersey,70
New Mexico,73
New York,65
North Carolina,56
North Dakota,65
Ohio,60
Oklahoma,48
Oregon,85
Pennsylvania,69
Rhode Island,65
South Carolina,47
South Dakota,92
Tennessee,60
Texas,56
Utah,71
Vermont,81
Virginia,69
Washington,70
West Virginia,70
Wisconsin,74
Wyoming,80
