geoName,covid
Alabama,41
Alaska,63
Arizona,57
Arkansas,50
California,49
Colorado,58
Connecticut,50
Delaware,50
District of Columbia,54
Florida,45
Georgia,40
Hawaii,62
Idaho,56
Illinois,57
Indiana,47
Iowa,68
Kansas,49
Kentucky,43
Louisiana,39
Maine,55
Maryland,59
Massachusetts,58
Michigan,60
Minnesota,75
Mississippi,35
Missouri,52
Montana,86
Nebraska,58
Nevada,44
New Hampshire,63
New Jersey,54
New Mexico,57
New York,45
North Carolina,44
North Dakota,57
Ohio,47
Oklahoma,50
Oregon,54
Pennsylvania,51
Rhode Island,52
South Carolina,34
South Dakota,100
Tennessee,48
Texas,44
Utah,58
Vermont,73
Virginia,50
Washington,54
West Virginia,56
Wisconsin,59
Wyoming,80
