geoName,covid
Alabama,49
Alaska,58
Arizona,68
Arkansas,44
California,65
Colorado,73
Connecticut,70
Delaware,69
District of Columbia,67
Florida,52
Georgia,54
Hawaii,70
Idaho,58
Illinois,71
Indiana,51
Iowa,83
Kansas,58
Kentucky,52
Louisiana,41
Maine,78
Maryland,64
Massachusetts,81
Michigan,65
Minnesota,89
Mississippi,38
Missouri,53
Montana,70
Nebraska,79
Nevada,58
New Hampshire,87
New Jersey,68
New Mexico,72
New York,62
North Carolina,48
North Dakota,57
Ohio,53
Oklahoma,51
Oregon,77
Pennsylvania,65
Rhode Island,80
South Carolina,44
South Dakota,100
Tennessee,52
Texas,52
Utah,73
Vermont,79
Virginia,65
Washington,70
West Virginia,60
Wisconsin,68
Wyoming,67
