geoName,covid
Alabama,53
Alaska,86
Arizona,70
Arkansas,61
California,66
Colorado,81
Connecticut,72
Delaware,78
District of Columbia,72
Florida,58
Georgia,57
Hawaii,76
Idaho,60
Illinois,78
Indiana,59
Iowa,95
Kansas,68
Kentucky,61
Louisiana,50
Maine,73
Maryland,66
Massachusetts,84
Michigan,72
Minnesota,92
Mississippi,43
Missouri,55
Montana,95
Nebraska,77
Nevada,60
New Hampshire,82
New Jersey,73
New Mexico,71
New York,65
North Carolina,57
North Dakota,70
Ohio,60
Oklahoma,54
Oregon,70
Pennsylvania,69
Rhode Island,72
South Carolina,51
South Dakota,91
Tennessee,63
Texas,55
Utah,68
Vermont,96
Virginia,69
Washington,72
West Virginia,69
Wisconsin,72
Wyoming,100
