geoName,covid
Alabama,49
Alaska,88
Arizona,66
Arkansas,54
California,69
Colorado,77
Connecticut,80
Delaware,68
District of Columbia,89
Florida,55
Georgia,59
Hawaii,67
Idaho,54
Illinois,80
Indiana,60
Iowa,89
Kansas,68
Kentucky,59
Louisiana,49
Maine,75
Maryland,65
Massachusetts,79
Michigan,72
Minnesota,100
Mississippi,38
Missouri,59
Montana,83
Nebraska,84
Nevada,61
New Hampshire,91
New Jersey,70
New Mexico,72
New York,60
North Carolina,57
North Dakota,67
Ohio,58
Oklahoma,51
Oregon,79
Pennsylvania,77
Rhode Island,78
South Carolina,49
South Dakota,99
Tennessee,55
Texas,54
Utah,62
Vermont,97
Virginia,63
Washington,71
West Virginia,68
Wisconsin,75
Wyoming,68
