geoName,covid
Alabama,59
Alaska,91
Arizona,66
Arkansas,62
California,57
Colorado,64
Connecticut,63
Delaware,52
District of Columbia,58
Florida,51
Georgia,54
Hawaii,81
Idaho,72
Illinois,72
Indiana,61
Iowa,78
Kansas,56
Kentucky,61
Louisiana,58
Maine,65
Maryland,59
Massachusetts,62
Michigan,78
Minnesota,85
Mississippi,53
Missouri,66
Montana,100
Nebraska,71
Nevada,49
New Hampshire,73
New Jersey,59
New Mexico,70
New York,56
North Carolina,55
North Dakota,76
Ohio,56
Oklahoma,72
Oregon,70
Pennsylvania,63
Rhode Island,60
South Carolina,51
South Dakota,94
Tennessee,67
Texas,56
Utah,71
Vermont,82
Virginia,58
Washington,69
West Virginia,70
Wisconsin,75
Wyoming,91
