geoName,covid
Alabama,51
Alaska,77
Arizona,58
Arkansas,63
California,59
Colorado,68
Connecticut,58
Delaware,50
District of Columbia,77
Florida,50
Georgia,53
Hawaii,75
Idaho,63
Illinois,67
Indiana,52
Iowa,78
Kansas,53
Kentucky,56
Louisiana,47
Maine,65
Maryland,54
Massachusetts,66
Michigan,73
Minnesota,85
Mississippi,45
Missouri,60
Montana,82
Nebraska,68
Nevada,58
New Hampshire,70
New Jersey,64
New Mexico,66
New York,55
North Carolina,49
North Dakota,65
Ohio,50
Oklahoma,56
Oregon,65
Pennsylvania,60
Rhode Island,63
South Carolina,47
South Dakota,100
Tennessee,57
Texas,53
Utah,65
Vermont,75
Virginia,57
Washington,64
West Virginia,70
Wisconsin,67
Wyoming,67
