geoName,covid
Alabama,53
Alaska,85
Arizona,62
Arkansas,52
California,65
Colorado,75
Connecticut,74
Delaware,64
District of Columbia,87
Florida,58
Georgia,64
Hawaii,71
Idaho,62
Illinois,79
Indiana,58
Iowa,95
Kansas,56
Kentucky,56
Louisiana,47
Maine,79
Maryland,69
Massachusetts,88
Michigan,78
Minnesota,89
Mississippi,49
Missouri,61
Montana,81
Nebraska,82
Nevada,58
New Hampshire,90
New Jersey,68
New Mexico,70
New York,63
North Carolina,59
North Dakota,83
Ohio,61
Oklahoma,55
Oregon,64
Pennsylvania,71
Rhode Island,81
South Carolina,50
South Dakota,100
Tennessee,57
Texas,53
Utah,63
Vermont,83
Virginia,61
Washington,66
West Virginia,61
Wisconsin,79
Wyoming,64
