geoName,covid
Alabama,54
Alaska,99
Arizona,61
Arkansas,60
California,59
Colorado,68
Connecticut,58
Delaware,50
District of Columbia,70
Florida,53
Georgia,57
Hawaii,76
Idaho,62
Illinois,66
Indiana,57
Iowa,73
Kansas,60
Kentucky,56
Louisiana,52
Maine,66
Maryland,59
Massachusetts,66
Michigan,69
Minnesota,88
Mississippi,54
Missouri,66
Montana,91
Nebraska,64
Nevada,59
New Hampshire,80
New Jersey,60
New Mexico,75
New York,51
North Carolina,51
North Dakota,61
Ohio,52
Oklahoma,67
Oregon,67
Pennsylvania,60
Rhode Island,64
South Carolina,49
South Dakota,100
Tennessee,58
Texas,54
Utah,70
Vermont,91
Virginia,59
Washington,68
West Virginia,65
Wisconsin,63
Wyoming,65
