geoName,covid
Alabama,72
Alaska,93
Arizona,68
Arkansas,77
California,65
Colorado,74
Connecticut,67
Delaware,59
District of Columbia,76
Florida,62
Georgia,65
Hawaii,83
Idaho,66
Illinois,76
Indiana,71
Iowa,85
Kansas,72
Kentucky,76
Louisiana,57
Maine,91
Maryland,63
Massachusetts,71
Michigan,82
Minnesota,89
Mississippi,68
Missouri,76
Montana,85
Nebraska,82
Nevada,58
New Hampshire,87
New Jersey,63
New Mexico,75
New York,59
North Carolina,60
North Dakota,75
Ohio,61
Oklahoma,77
Oregon,77
Pennsylvania,68
Rhode Island,62
South Carolina,53
South Dakota,100
Tennessee,80
Texas,60
Utah,76
Vermont,86
Virginia,66
Washington,74
West Virginia,73
Wisconsin,78
Wyoming,90
