geoName,covid
Alabama,41
Alaska,78
Arizona,63
Arkansas,52
California,62
Colorado,75
Connecticut,68
Delaware,62
District of Columbia,80
Florida,54
Georgia,55
Hawaii,78
Idaho,66
Illinois,73
Indiana,60
Iowa,97
Kansas,67
Kentucky,53
Louisiana,50
Maine,66
Maryland,63
Massachusetts,79
Michigan,67
Minnesota,85
Mississippi,45
Missouri,60
Montana,74
Nebraska,74
Nevada,52
New Hampshire,85
New Jersey,65
New Mexico,73
New York,61
North Carolina,54
North Dakota,71
Ohio,58
Oklahoma,60
Oregon,65
Pennsylvania,64
Rhode Island,69
South Carolina,45
South Dakota,100
Tennessee,57
Texas,58
Utah,65
Vermont,76
Virginia,65
Washington,68
West Virginia,52
Wisconsin,69
Wyoming,79
