geoName,covid
Alabama,55
Alaska,100
Arizona,51
Arkansas,63
California,50
Colorado,75
Connecticut,51
Delaware,49
District of Columbia,66
Florida,47
Georgia,47
Hawaii,81
Idaho,63
Illinois,59
Indiana,60
Iowa,74
Kansas,65
Kentucky,59
Louisiana,56
Maine,64
Maryland,56
Massachusetts,59
Michigan,70
Minnesota,90
Mississippi,41
Missouri,67
Montana,68
Nebraska,56
Nevada,40
New Hampshire,68
New Jersey,48
New Mexico,71
New York,45
North Carolina,49
North Dakota,63
Ohio,50
Oklahoma,60
Oregon,81
Pennsylvania,57
Rhode Island,48
South Carolina,49
South Dakota,97
Tennessee,64
Texas,52
Utah,58
Vermont,84
Virginia,56
Washington,72
West Virginia,65
Wisconsin,81
Wyoming,68
