geoName,covid
Alabama,49
Alaska,81
Arizona,67
Arkansas,57
California,64
Colorado,72
Connecticut,71
Delaware,60
District of Columbia,80
Florida,53
Georgia,55
Hawaii,68
Idaho,50
Illinois,81
Indiana,61
Iowa,84
Kansas,70
Kentucky,63
Louisiana,47
Maine,91
Maryland,71
Massachusetts,83
Michigan,78
Minnesota,88
Mississippi,48
Missouri,56
Montana,75
Nebraska,88
Nevada,58
New Hampshire,89
New Jersey,71
New Mexico,66
New York,63
North Carolina,53
North Dakota,81
Ohio,57
Oklahoma,55
Oregon,76
Pennsylvania,67
Rhode Island,81
South Carolina,53
South Dakota,100
Tennessee,56
Texas,54
Utah,64
Vermont,78
Virginia,67
Washington,69
West Virginia,56
Wisconsin,70
Wyoming,67
