geoName,covid
Alabama,51
Alaska,100
Arizona,72
Arkansas,61
California,70
Colorado,81
Connecticut,84
Delaware,65
District of Columbia,86
Florida,61
Georgia,57
Hawaii,67
Idaho,73
Illinois,91
Indiana,68
Iowa,98
Kansas,71
Kentucky,62
Louisiana,48
Maine,90
Maryland,75
Massachusetts,93
Michigan,92
Minnesota,98
Mississippi,44
Missouri,64
Montana,73
Nebraska,89
Nevada,60
New Hampshire,82
New Jersey,72
New Mexico,80
New York,60
North Carolina,61
North Dakota,78
Ohio,61
Oklahoma,65
Oregon,74
Pennsylvania,71
Rhode Island,77
South Carolina,47
South Dakota,95
Tennessee,65
Texas,58
Utah,70
Vermont,98
Virginia,67
Washington,79
West Virginia,64
Wisconsin,82
Wyoming,65
