geoName,covid
Alabama,50
Alaska,96
Arizona,74
Arkansas,57
California,70
Colorado,81
Connecticut,75
Delaware,68
District of Columbia,92
Florida,55
Georgia,59
Hawaii,73
Idaho,61
Illinois,85
Indiana,80
Iowa,92
Kansas,81
Kentucky,60
Louisiana,43
Maine,83
Maryland,66
Massachusetts,84
Michigan,78
Minnesota,100
Mississippi,51
Missouri,59
Montana,88
Nebraska,80
Nevada,60
New Hampshire,97
New Jersey,71
New Mexico,82
New York,54
North Carolina,56
North Dakota,74
Ohio,66
Oklahoma,61
Oregon,80
Pennsylvania,71
Rhode Island,76
South Carolina,53
South Dakota,75
Tennessee,60
Texas,59
Utah,66
Vermont,88
Virginia,71
Washington,79
West Virginia,65
Wisconsin,68
Wyoming,64
