geoName,covid
Alabama,48
Alaska,84
Arizona,67
Arkansas,56
California,72
Colorado,76
Connecticut,79
Delaware,61
District of Columbia,90
Florida,60
Georgia,57
Hawaii,95
Idaho,68
Illinois,76
Indiana,60
Iowa,84
Kansas,65
Kentucky,58
Louisiana,48
Maine,71
Maryland,69
Massachusetts,78
Michigan,75
Minnesota,93
Mississippi,53
Missouri,61
Montana,88
Nebraska,74
Nevada,55
New Hampshire,88
New Jersey,71
New Mexico,81
New York,65
North Carolina,57
North Dakota,92
Ohio,58
Oklahoma,65
Oregon,78
Pennsylvania,65
Rhode Island,82
South Carolina,43
South Dakota,100
Tennessee,61
Texas,56
Utah,71
Vermont,92
Virginia,66
Washington,72
West Virginia,73
Wisconsin,80
Wyoming,86
