geoName,covid
Alabama,50
Alaska,81
Arizona,65
Arkansas,58
California,63
Colorado,73
Connecticut,68
Delaware,70
District of Columbia,93
Florida,53
Georgia,58
Hawaii,68
Idaho,60
Illinois,75
Indiana,65
Iowa,90
Kansas,61
Kentucky,61
Louisiana,47
Maine,82
Maryland,66
Massachusetts,85
Michigan,69
Minnesota,89
Mississippi,47
Missouri,58
Montana,76
Nebraska,73
Nevada,56
New Hampshire,84
New Jersey,65
New Mexico,76
New York,60
North Carolina,56
North Dakota,70
Ohio,57
Oklahoma,49
Oregon,64
Pennsylvania,63
Rhode Island,76
South Carolina,53
South Dakota,100
Tennessee,58
Texas,54
Utah,66
Vermont,80
Virginia,67
Washington,67
West Virginia,64
Wisconsin,72
Wyoming,77
