geoName,covid
Alabama,52
Alaska,100
Arizona,56
Arkansas,70
California,50
Colorado,71
Connecticut,53
Delaware,43
District of Columbia,60
Florida,46
Georgia,52
Hawaii,80
Idaho,70
Illinois,58
Indiana,56
Iowa,73
Kansas,57
Kentucky,64
Louisiana,52
Maine,68
Maryland,51
Massachusetts,53
Michigan,64
Minnesota,91
Mississippi,47
Missouri,64
Montana,81
Nebraska,58
Nevada,44
New Hampshire,70
New Jersey,48
New Mexico,66
New York,47
North Carolina,51
North Dakota,63
Ohio,50
Oklahoma,74
Oregon,75
Pennsylvania,55
Rhode Island,50
South Carolina,45
South Dakota,81
Tennessee,61
Texas,53
Utah,64
Vermont,89
Virginia,51
Washington,69
West Virginia,71
Wisconsin,75
Wyoming,71
