geoName,covid
Alabama,40
Alaska,68
Arizona,51
Arkansas,50
California,51
Colorado,59
Connecticut,53
Delaware,51
District of Columbia,46
Florida,45
Georgia,42
Hawaii,77
Idaho,54
Illinois,56
Indiana,49
Iowa,61
Kansas,46
Kentucky,47
Louisiana,36
Maine,49
Maryland,46
Massachusetts,53
Michigan,62
Minnesota,65
Mississippi,36
Missouri,48
Montana,77
Nebraska,58
Nevada,45
New Hampshire,61
New Jersey,51
New Mexico,62
New York,43
North Carolina,41
North Dakota,50
Ohio,39
Oklahoma,50
Oregon,56
Pennsylvania,51
Rhode Island,61
South Carolina,34
South Dakota,100
Tennessee,44
Texas,44
Utah,54
Vermont,63
Virginia,45
Washington,54
West Virginia,56
Wisconsin,54
Wyoming,66
