geoName,covid
Alabama,46
Alaska,100
Arizona,60
Arkansas,49
California,61
Colorado,70
Connecticut,68
Delaware,54
District of Columbia,80
Florida,53
Georgia,50
Hawaii,61
Idaho,53
Illinois,72
Indiana,56
Iowa,76
Kansas,58
Kentucky,54
Louisiana,48
Maine,63
Maryland,59
Massachusetts,77
Michigan,62
Minnesota,97
Mississippi,47
Missouri,58
Montana,78
Nebraska,80
Nevada,48
New Hampshire,82
New Jersey,60
New Mexico,70
New York,61
North Carolina,51
North Dakota,49
Ohio,49
Oklahoma,50
Oregon,74
Pennsylvania,59
Rhode Island,62
South Carolina,47
South Dakota,86
Tennessee,54
Texas,50
Utah,70
Vermont,86
Virginia,62
Washington,70
West Virginia,57
Wisconsin,72
Wyoming,62
