geoName,covid
Alabama,50
Alaska,100
Arizona,49
Arkansas,66
California,50
Colorado,62
Connecticut,55
Delaware,41
District of Columbia,46
Florida,47
Georgia,47
Hawaii,71
Idaho,65
Illinois,58
Indiana,53
Iowa,82
Kansas,60
Kentucky,58
Louisiana,59
Maine,73
Maryland,47
Massachusetts,53
Michigan,66
Minnesota,85
Mississippi,44
Missouri,70
Montana,77
Nebraska,56
Nevada,42
New Hampshire,76
New Jersey,50
New Mexico,61
New York,50
North Carolina,51
North Dakota,72
Ohio,52
Oklahoma,58
Oregon,70
Pennsylvania,53
Rhode Island,47
South Carolina,46
South Dakota,65
Tennessee,58
Texas,49
Utah,63
Vermont,82
Virginia,49
Washington,68
West Virginia,66
Wisconsin,72
Wyoming,56
