geoName,covid
Alabama,51
Alaska,95
Arizona,64
Arkansas,54
California,66
Colorado,76
Connecticut,77
Delaware,64
District of Columbia,88
Florida,63
Georgia,58
Hawaii,87
Idaho,71
Illinois,77
Indiana,61
Iowa,96
Kansas,61
Kentucky,62
Louisiana,47
Maine,68
Maryland,68
Massachusetts,85
Michigan,83
Minnesota,97
Mississippi,45
Missouri,62
Montana,88
Nebraska,68
Nevada,59
New Hampshire,89
New Jersey,77
New Mexico,72
New York,69
North Carolina,59
North Dakota,74
Ohio,61
Oklahoma,57
Oregon,75
Pennsylvania,76
Rhode Island,90
South Carolina,52
South Dakota,98
Tennessee,60
Texas,55
Utah,70
Vermont,100
Virginia,66
Washington,72
West Virginia,70
Wisconsin,85
Wyoming,60
