geoName,covid
Alabama,38
Alaska,100
Arizona,62
Arkansas,50
California,63
Colorado,69
Connecticut,69
Delaware,54
District of Columbia,69
Florida,49
Georgia,55
Hawaii,60
Idaho,57
Illinois,66
Indiana,55
Iowa,77
Kansas,61
Kentucky,49
Louisiana,45
Maine,72
Maryland,57
Massachusetts,73
Michigan,68
Minnesota,86
Mississippi,42
Missouri,53
Montana,78
Nebraska,70
Nevada,56
New Hampshire,83
New Jersey,59
New Mexico,78
New York,56
North Carolina,55
North Dakota,57
Ohio,50
Oklahoma,49
Oregon,71
Pennsylvania,60
Rhode Island,71
South Carolina,42
South Dakota,77
Tennessee,50
Texas,50
Utah,59
Vermont,78
Virginia,58
Washington,73
West Virginia,64
Wisconsin,65
Wyoming,63
