geoName,covid
Alabama,57
Alaska,99
Arizona,57
Arkansas,68
California,54
Colorado,78
Connecticut,55
Delaware,42
District of Columbia,63
Florida,51
Georgia,54
Hawaii,72
Idaho,86
Illinois,66
Indiana,61
Iowa,83
Kansas,70
Kentucky,63
Louisiana,54
Maine,68
Maryland,55
Massachusetts,62
Michigan,74
Minnesota,100
Mississippi,44
Missouri,73
Montana,83
Nebraska,71
Nevada,45
New Hampshire,77
New Jersey,52
New Mexico,77
New York,52
North Carolina,58
North Dakota,71
Ohio,54
Oklahoma,80
Oregon,76
Pennsylvania,62
Rhode Island,59
South Carolina,44
South Dakota,94
Tennessee,62
Texas,54
Utah,66
Vermont,83
Virginia,57
Washington,72
West Virginia,80
Wisconsin,77
Wyoming,78
