geoName,covid
Alabama,50
Alaska,81
Arizona,73
Arkansas,53
California,64
Colorado,76
Connecticut,72
Delaware,64
District of Columbia,87
Florida,60
Georgia,55
Hawaii,77
Idaho,66
Illinois,76
Indiana,69
Iowa,90
Kansas,60
Kentucky,64
Louisiana,46
Maine,87
Maryland,72
Massachusetts,86
Michigan,74
Minnesota,100
Mississippi,50
Missouri,65
Montana,73
Nebraska,83
Nevada,53
New Hampshire,82
New Jersey,68
New Mexico,80
New York,66
North Carolina,53
North Dakota,76
Ohio,58
Oklahoma,50
Oregon,68
Pennsylvania,66
Rhode Island,73
South Carolina,50
South Dakota,90
Tennessee,58
Texas,55
Utah,73
Vermont,90
Virginia,65
Washington,68
West Virginia,68
Wisconsin,76
Wyoming,72
