geoName,covid
Alabama,53
Alaska,85
Arizona,66
Arkansas,57
California,64
Colorado,78
Connecticut,64
Delaware,59
District of Columbia,90
Florida,54
Georgia,58
Hawaii,79
Idaho,58
Illinois,75
Indiana,57
Iowa,86
Kansas,63
Kentucky,58
Louisiana,46
Maine,62
Maryland,69
Massachusetts,79
Michigan,79
Minnesota,91
Mississippi,48
Missouri,61
Montana,70
Nebraska,77
Nevada,56
New Hampshire,82
New Jersey,63
New Mexico,75
New York,57
North Carolina,59
North Dakota,66
Ohio,56
Oklahoma,55
Oregon,67
Pennsylvania,66
Rhode Island,73
South Carolina,44
South Dakota,88
Tennessee,56
Texas,54
Utah,65
Vermont,100
Virginia,71
Washington,73
West Virginia,58
Wisconsin,71
Wyoming,83
