day,state,num_cases
2020-2-6,TN,0
2020-2-7,TN,0
2020-2-8,TN,0
2020-2-9,TN,0
2020-2-10,TN,0
2020-2-11,TN,0
2020-2-12,TN,0
2020-2-13,TN,0
2020-2-14,TN,0
2020-2-15,TN,0
2020-2-16,TN,0
2020-2-17,TN,0
2020-2-18,TN,0
2020-2-19,TN,0
2020-2-20,TN,0
2020-2-21,TN,0
2020-2-22,TN,0
2020-2-23,TN,0
2020-2-24,TN,0
2020-2-25,TN,0
2020-2-26,TN,0
2020-2-27,TN,0
2020-2-28,TN,0
2020-2-29,TN,0
2020-3-1,TN,0
2020-3-2,TN,0
2020-3-3,TN,0
2020-3-4,TN,0
2020-3-5,TN,1
2020-3-6,TN,1
2020-3-7,TN,1
2020-3-8,TN,3
2020-3-9,TN,4
2020-3-10,TN,7
2020-3-11,TN,8
2020-3-12,TN,18
2020-3-13,TN,26
2020-3-14,TN,32
2020-3-15,TN,39
2020-3-16,TN,52
2020-3-17,TN,73
2020-3-18,TN,98
2020-3-19,TN,155
2020-3-20,TN,237
2020-3-21,TN,312
2020-3-22,TN,424
2020-3-23,TN,522
2020-3-24,TN,678
2020-3-25,TN,806
2020-3-26,TN,981
2020-3-27,TN,1180
2020-3-28,TN,1363
2020-3-29,TN,1569
2020-3-30,TN,1721
2020-3-31,TN,2049
2020-4-1,TN,2689
2020-4-2,TN,2868
2020-4-3,TN,3032
2020-4-4,TN,3265
2020-4-5,TN,3538
2020-4-6,TN,3753
2020-4-7,TN,4010
2020-4-8,TN,4246
2020-4-9,TN,4456
2020-4-10,TN,4793
2020-4-11,TN,4983
2020-4-12,TN,5144
2020-4-13,TN,5483
2020-4-14,TN,5654
2020-4-15,TN,5878
2020-4-16,TN,6090
2020-4-17,TN,6438
2020-4-18,TN,6637
2020-4-19,TN,6845
2020-4-20,TN,7015
2020-4-21,TN,7341
2020-4-22,TN,7704
2020-4-23,TN,8230
2020-4-24,TN,8679
2020-4-25,TN,8977
2020-4-26,TN,9493
2020-4-27,TN,9796
2020-4-28,TN,10031
2020-4-29,TN,10312
2020-4-30,TN,10562
2020-5-1,TN,11853
2020-5-2,TN,12445
2020-5-3,TN,12934
2020-5-4,TN,13343
2020-5-5,TN,13615
2020-5-6,TN,13796
2020-5-7,TN,14166
2020-5-8,TN,14276
2020-5-9,TN,14675
2020-5-10,TN,15060
2020-1-25,OR,0
2020-1-26,OR,0
2020-1-27,OR,0
2020-1-28,OR,0
2020-1-29,OR,0
2020-1-30,OR,0
2020-1-31,OR,0
2020-2-1,OR,0
2020-2-2,OR,0
2020-2-3,OR,0
2020-2-4,OR,0
2020-2-5,OR,0
2020-2-6,OR,0
2020-2-7,OR,0
2020-2-8,OR,0
2020-2-9,OR,0
2020-2-10,OR,0
2020-2-11,OR,0
2020-2-12,OR,0
2020-2-13,OR,0
2020-2-14,OR,0
2020-2-15,OR,0
2020-2-16,OR,0
2020-2-17,OR,0
2020-2-18,OR,0
2020-2-19,OR,0
2020-2-20,OR,0
2020-2-21,OR,0
2020-2-22,OR,0
2020-2-23,OR,0
2020-2-24,OR,0
2020-2-25,OR,0
2020-2-26,OR,0
2020-2-27,OR,0
2020-2-28,OR,1
2020-2-29,OR,1
2020-3-1,OR,2
2020-3-2,OR,2
2020-3-3,OR,2
2020-3-4,OR,2
2020-3-5,OR,2
2020-3-6,OR,2
2020-3-7,OR,6
2020-3-8,OR,13
2020-3-9,OR,13
2020-3-10,OR,14
2020-3-11,OR,20
2020-3-12,OR,30
2020-3-13,OR,30
2020-3-14,OR,36
2020-3-15,OR,39
2020-3-16,OR,46
2020-3-17,OR,66
2020-3-18,OR,74
2020-3-19,OR,87
2020-3-20,OR,114
2020-3-21,OR,137
2020-3-22,OR,161
2020-3-23,OR,191
2020-3-24,OR,209
2020-3-25,OR,266
2020-3-26,OR,316
2020-3-27,OR,414
2020-3-28,OR,479
2020-3-29,OR,548
2020-3-30,OR,606
2020-3-31,OR,690
2020-4-1,OR,736
2020-4-2,OR,826
2020-4-3,OR,899
2020-4-4,OR,999
2020-4-5,OR,1068
2020-4-6,OR,1132
2020-4-7,OR,1181
2020-4-8,OR,1239
2020-4-9,OR,1321
2020-4-10,OR,1371
2020-4-11,OR,1447
2020-4-12,OR,1527
2020-4-13,OR,1584
2020-4-14,OR,1633
2020-4-15,OR,1663
2020-4-16,OR,1736
2020-4-17,OR,1785
2020-4-18,OR,1844
2020-4-19,OR,1910
2020-4-20,OR,1956
2020-4-21,OR,2002
2020-4-22,OR,2059
2020-4-23,OR,2127
2020-4-24,OR,2177
2020-4-25,OR,2253
2020-4-26,OR,2311
2020-4-27,OR,2354
2020-4-28,OR,2385
2020-4-29,OR,2446
2020-4-30,OR,2510
2020-5-1,OR,2579
2020-5-2,OR,2635
2020-5-3,OR,2680
2020-5-4,OR,2759
2020-5-5,OR,2839
2020-5-6,OR,2916
2020-5-7,OR,2989
2020-5-8,OR,3068
2020-5-9,OR,3160
2020-5-10,OR,3228
2020-1-25,DE,0
2020-1-26,DE,0
2020-1-27,DE,0
2020-1-28,DE,0
2020-1-29,DE,0
2020-1-30,DE,0
2020-1-31,DE,0
2020-2-1,DE,0
2020-2-2,DE,0
2020-2-3,DE,0
2020-2-4,DE,0
2020-2-5,DE,0
2020-2-6,DE,0
2020-2-7,DE,0
2020-2-8,DE,0
2020-2-9,DE,0
2020-2-10,DE,0
2020-2-11,DE,0
2020-2-12,DE,0
2020-2-13,DE,0
2020-2-14,DE,0
2020-2-15,DE,0
2020-2-16,DE,0
2020-2-17,DE,0
2020-2-18,DE,0
2020-2-19,DE,0
2020-2-20,DE,0
2020-2-21,DE,0
2020-2-22,DE,0
2020-2-23,DE,0
2020-2-24,DE,0
2020-2-25,DE,0
2020-2-26,DE,0
2020-2-27,DE,0
2020-2-28,DE,0
2020-2-29,DE,0
2020-3-1,DE,0
2020-3-2,DE,0
2020-3-3,DE,0
2020-3-4,DE,0
2020-3-5,DE,0
2020-3-6,DE,0
2020-3-7,DE,0
2020-3-8,DE,0
2020-3-9,DE,0
2020-3-10,DE,0
2020-3-11,DE,1
2020-3-12,DE,4
2020-3-13,DE,4
2020-3-14,DE,4
2020-3-15,DE,7
2020-3-16,DE,8
2020-3-17,DE,16
2020-3-18,DE,26
2020-3-19,DE,30
2020-3-20,DE,39
2020-3-21,DE,45
2020-3-22,DE,56
2020-3-23,DE,87
2020-3-24,DE,104
2020-3-25,DE,119
2020-3-26,DE,143
2020-3-27,DE,165
2020-3-28,DE,214
2020-3-29,DE,232
2020-3-30,DE,264
2020-3-31,DE,319
2020-4-1,DE,368
2020-4-2,DE,393
2020-4-3,DE,450
2020-4-4,DE,593
2020-4-5,DE,673
2020-4-6,DE,783
2020-4-7,DE,928
2020-4-8,DE,1116
2020-4-9,DE,1209
2020-4-10,DE,1326
2020-4-11,DE,1479
2020-4-12,DE,1625
2020-4-13,DE,1761
2020-4-14,DE,1926
2020-4-15,DE,2014
2020-4-16,DE,2075
2020-4-17,DE,2323
2020-4-18,DE,2538
2020-4-19,DE,2538
2020-4-20,DE,2745
2020-4-21,DE,2931
2020-4-22,DE,3200
2020-4-23,DE,3308
2020-4-24,DE,3442
2020-4-25,DE,3576
2020-4-26,DE,4034
2020-4-27,DE,4162
2020-4-28,DE,4575
2020-4-29,DE,4655
2020-4-30,DE,4734
2020-5-1,DE,4918
2020-5-2,DE,5038
2020-5-3,DE,5208
2020-5-4,DE,5288
2020-5-5,DE,5371
2020-5-6,DE,5778
2020-5-7,DE,5939
2020-5-8,DE,6111
2020-5-9,DE,6277
2020-5-10,DE,6447
2020-1-25,NY,0
2020-1-26,NY,0
2020-1-27,NY,0
2020-1-28,NY,0
2020-1-29,NY,0
2020-1-30,NY,0
2020-1-31,NY,0
2020-2-1,NY,0
2020-2-2,NY,0
2020-2-3,NY,0
2020-2-4,NY,0
2020-2-5,NY,0
2020-2-6,NY,0
2020-2-7,NY,0
2020-2-8,NY,0
2020-2-9,NY,0
2020-2-10,NY,0
2020-2-11,NY,0
2020-2-12,NY,0
2020-2-13,NY,0
2020-2-14,NY,0
2020-2-15,NY,0
2020-2-16,NY,0
2020-2-17,NY,0
2020-2-18,NY,0
2020-2-19,NY,0
2020-2-20,NY,0
2020-2-21,NY,0
2020-2-22,NY,0
2020-2-23,NY,0
2020-2-24,NY,0
2020-2-25,NY,0
2020-2-26,NY,0
2020-2-27,NY,0
2020-2-28,NY,0
2020-2-29,NY,0
2020-3-1,NY,1
2020-3-2,NY,1
2020-3-3,NY,2
2020-3-4,NY,11
2020-3-5,NY,22
2020-3-6,NY,44
2020-3-7,NY,89
2020-3-8,NY,106
2020-3-9,NY,142
2020-3-10,NY,173
