day,state,death_rates
2020-4-14,MO,0.050335570469798654
2020-4-15,MO,0.06220095693779904
2020-4-16,MO,0.027777777777777776
2020-4-17,MO,0.08139534883720931
2020-4-18,MO,0.042735042735042736
2020-4-19,MO,0.013333333333333334
2020-4-20,MO,0.03571428571428571
2020-4-21,MO,0.14925373134328357
2020-4-22,MO,0.07653061224489796
2020-4-23,MO,0.06521739130434782
2020-4-24,MO,0.0625
2020-4-25,MO,0.06467661691542288
2020-4-26,MO,0.011695906432748537
2020-4-27,MO,0.08045977011494253
2020-4-28,MO,0.2074074074074074
2020-4-29,MO,0.058333333333333334
2020-4-30,MO,0.072992700729927
2020-5-1,MO,0.05054151624548736
2020-5-2,MO,0.05732484076433121
2020-5-3,MO,0.016666666666666666
2020-5-4,MO,0.027950310559006212
2020-5-5,MO,0.14685314685314685
2020-5-6,MO,0.08571428571428572
2020-5-7,MO,0.08163265306122448
2020-5-8,MO,0.1951219512195122
2020-5-9,MO,0.06707317073170732
2020-5-10,MO,0.05917159763313609
2020-1-25,ND,0
2020-1-26,ND,0
2020-1-27,ND,0
2020-1-28,ND,0
2020-1-29,ND,0
2020-1-30,ND,0
2020-1-31,ND,0
2020-2-1,ND,0
2020-2-2,ND,0
2020-2-3,ND,0
2020-2-4,ND,0
2020-2-5,ND,0
2020-2-6,ND,0
2020-2-7,ND,0
2020-2-8,ND,0
2020-2-9,ND,0
2020-2-10,ND,0
2020-2-11,ND,0
2020-2-12,ND,0
2020-2-13,ND,0
2020-2-14,ND,0
2020-2-15,ND,0
2020-2-16,ND,0
2020-2-17,ND,0
2020-2-18,ND,0
2020-2-19,ND,0
2020-2-20,ND,0
2020-2-21,ND,0
2020-2-22,ND,0
2020-2-23,ND,0
2020-2-24,ND,0
2020-2-25,ND,0
2020-2-26,ND,0
2020-2-27,ND,0
2020-2-28,ND,0
2020-2-29,ND,0
2020-3-1,ND,0
2020-3-2,ND,0
2020-3-3,ND,0
2020-3-4,ND,0
2020-3-5,ND,0
2020-3-6,ND,0
2020-3-7,ND,0
2020-3-8,ND,0
2020-3-9,ND,0
2020-3-10,ND,0
2020-3-11,ND,0
2020-3-12,ND,0
2020-3-13,ND,0
2020-3-14,ND,0
2020-3-15,ND,0
2020-3-16,ND,0
2020-3-17,ND,0.0
2020-3-18,ND,0.0
2020-3-19,ND,0.0
2020-3-20,ND,0.0
2020-3-21,ND,0.0
2020-3-22,ND,0.0
2020-3-23,ND,0.0
2020-3-24,ND,0.0
2020-3-25,ND,0.0
2020-3-26,ND,0.0
2020-3-27,ND,0.1
2020-3-28,ND,0.0
2020-3-29,ND,0.0
2020-3-30,ND,0.18181818181818182
2020-3-31,ND,0.0
2020-4-1,ND,0.0
2020-4-2,ND,0.0
2020-4-3,ND,0.0
2020-4-4,ND,0.0
2020-4-5,ND,0.0
2020-4-6,ND,0.0
2020-4-7,ND,0.08333333333333333
2020-4-8,ND,0.0
2020-4-9,ND,0.05555555555555555
2020-4-10,ND,0.2222222222222222
2020-4-11,ND,0.0
2020-4-12,ND,0.06666666666666667
2020-4-13,ND,0.043478260869565216
2020-4-14,ND,0.0
2020-4-15,ND,0.0
2020-4-16,ND,0.0
2020-4-17,ND,0.0
2020-4-18,ND,0.0
2020-4-19,ND,0.017543859649122806
2020-4-20,ND,0.07142857142857142
2020-4-21,ND,0.0
2020-4-22,ND,0.02857142857142857
2020-4-23,ND,0.03333333333333333
2020-4-24,ND,0.0
2020-4-25,ND,0.01818181818181818
2020-4-26,ND,0.015625
2020-4-27,ND,0.02666666666666667
2020-4-28,ND,0.0
2020-4-29,ND,0.0
2020-4-30,ND,0.0
2020-5-1,ND,0.1
2020-5-2,ND,0.021739130434782608
2020-5-3,ND,0.02631578947368421
2020-5-4,ND,0.0
2020-5-5,ND,0.0
2020-5-6,ND,0.10526315789473684
2020-5-7,ND,0.0
2020-5-8,ND,0.037037037037037035
2020-5-9,ND,0.05128205128205128
2020-5-10,ND,0.0
2020-1-25,HI,0
2020-1-26,HI,0
2020-1-27,HI,0
2020-1-28,HI,0
2020-1-29,HI,0
2020-1-30,HI,0
2020-1-31,HI,0
2020-2-1,HI,0
2020-2-2,HI,0
2020-2-3,HI,0
2020-2-4,HI,0
2020-2-5,HI,0
2020-2-6,HI,0
2020-2-7,HI,0
2020-2-8,HI,0
2020-2-9,HI,0
2020-2-10,HI,0
2020-2-11,HI,0
2020-2-12,HI,0
2020-2-13,HI,0
2020-2-14,HI,0
2020-2-15,HI,0
2020-2-16,HI,0
2020-2-17,HI,0
2020-2-18,HI,0
2020-2-19,HI,0
2020-2-20,HI,0
2020-2-21,HI,0
2020-2-22,HI,0
2020-2-23,HI,0
2020-2-24,HI,0
2020-2-25,HI,0
2020-2-26,HI,0
2020-2-27,HI,0
2020-2-28,HI,0
2020-2-29,HI,0
2020-3-1,HI,0
2020-3-2,HI,0
2020-3-3,HI,0
2020-3-4,HI,0
2020-3-5,HI,0
2020-3-6,HI,0
2020-3-7,HI,0
2020-3-8,HI,0.0
