day,state,death_rates
2020-4-8,MO,0.025849113315299068
2020-4-9,MO,0.026561175473297543
2020-4-10,MO,0.027638852329560412
2020-4-11,MO,0.02882703777335984
2020-4-12,MO,0.027884615384615386
2020-4-13,MO,0.03099361896080219
2020-4-14,MO,0.03222364489970124
2020-4-15,MO,0.03350357507660878
2020-4-16,MO,0.033261592643318336
2020-4-17,MO,0.034828695816770776
2020-4-18,MO,0.035164038426681164
2020-4-19,MO,0.034586200811716955
2020-4-20,MO,0.03461339762355777
2020-4-21,MO,0.037199124726477024
2020-4-22,MO,0.03845527130519798
2020-4-23,MO,0.039234298370511
2020-4-24,MO,0.04030188679245283
2020-4-25,MO,0.04101963082332259
2020-4-26,MO,0.04030298699442618
2020-4-27,MO,0.041277367173337055
2020-4-28,MO,0.04434711196277032
2020-4-29,MO,0.044573121465122545
2020-4-30,MO,0.04508792807087135
2020-5-1,MO,0.04528061224489796
2020-5-2,MO,0.04574441991660535
2020-5-3,MO,0.044712562100780694
2020-5-4,MO,0.0440975387420237
2020-5-5,MO,0.04574503868146653
2020-5-6,MO,0.046813618507202094
2020-5-7,MO,0.047720267828674674
2020-5-8,MO,0.05024548208503082
2020-5-9,MO,0.05052891034199446
2020-5-10,MO,0.050676357762971934
2020-1-25,ND,0
2020-1-26,ND,0
2020-1-27,ND,0
2020-1-28,ND,0
2020-1-29,ND,0
2020-1-30,ND,0
2020-1-31,ND,0
2020-2-1,ND,0
2020-2-2,ND,0
2020-2-3,ND,0
2020-2-4,ND,0
2020-2-5,ND,0
2020-2-6,ND,0
2020-2-7,ND,0
2020-2-8,ND,0
2020-2-9,ND,0
2020-2-10,ND,0
2020-2-11,ND,0
2020-2-12,ND,0
2020-2-13,ND,0
2020-2-14,ND,0
2020-2-15,ND,0
2020-2-16,ND,0
2020-2-17,ND,0
2020-2-18,ND,0
2020-2-19,ND,0
2020-2-20,ND,0
2020-2-21,ND,0
2020-2-22,ND,0
2020-2-23,ND,0
2020-2-24,ND,0
2020-2-25,ND,0
2020-2-26,ND,0
2020-2-27,ND,0
2020-2-28,ND,0
2020-2-29,ND,0
2020-3-1,ND,0
2020-3-2,ND,0
2020-3-3,ND,0
2020-3-4,ND,0
2020-3-5,ND,0
2020-3-6,ND,0
2020-3-7,ND,0
2020-3-8,ND,0
2020-3-9,ND,0
2020-3-10,ND,0
2020-3-11,ND,0.0
2020-3-12,ND,0.0
2020-3-13,ND,0.0
2020-3-14,ND,0.0
2020-3-15,ND,0.0
2020-3-16,ND,0.0
2020-3-17,ND,0.0
2020-3-18,ND,0.0
2020-3-19,ND,0.0
2020-3-20,ND,0.0
2020-3-21,ND,0.0
2020-3-22,ND,0.0
2020-3-23,ND,0.0
2020-3-24,ND,0.0
2020-3-25,ND,0.0
2020-3-26,ND,0.0
2020-3-27,ND,0.014705882352941176
2020-3-28,ND,0.010752688172043012
2020-3-29,ND,0.010309278350515464
2020-3-30,ND,0.027777777777777776
2020-3-31,ND,0.023809523809523808
2020-4-1,ND,0.02040816326530612
2020-4-2,ND,0.018867924528301886
2020-4-3,ND,0.017341040462427744
2020-4-4,ND,0.016129032258064516
2020-4-5,ND,0.014492753623188406
2020-4-6,ND,0.013333333333333334
2020-4-7,ND,0.016877637130801686
2020-4-8,ND,0.01593625498007968
2020-4-9,ND,0.01858736059479554
2020-4-10,ND,0.025179856115107913
2020-4-11,ND,0.023890784982935155
2020-4-12,ND,0.025974025974025976
2020-4-13,ND,0.027190332326283987
2020-4-14,ND,0.026392961876832845
2020-4-15,ND,0.024657534246575342
2020-4-16,ND,0.022900763358778626
2020-4-17,ND,0.02050113895216401
2020-4-18,ND,0.017045454545454544
2020-4-19,ND,0.017094017094017096
2020-4-20,ND,0.02073365231259968
2020-4-21,ND,0.020186335403726708
2020-4-22,ND,0.020618556701030927
2020-4-23,ND,0.021156558533145273
2020-4-24,ND,0.020053475935828877
2020-4-25,ND,0.019925280199252802
2020-4-26,ND,0.0196078431372549
2020-4-27,ND,0.020169851380042462
2020-4-28,ND,0.01917255297679112
2020-4-29,ND,0.018393030009680542
2020-4-30,ND,0.01780693533270853
2020-5-1,ND,0.02077687443541102
2020-5-2,ND,0.020815264527320035
2020-5-3,ND,0.020990764063811923
2020-5-4,ND,0.02040816326530612
2020-5-5,ND,0.019747235387045814
2020-5-6,ND,0.02343159486016629
2020-5-7,ND,0.02261123267687819
2020-5-8,ND,0.023157894736842106
2020-5-9,ND,0.02390710382513661
2020-5-10,ND,0.023474178403755867
2020-1-25,HI,0
2020-1-26,HI,0
2020-1-27,HI,0
2020-1-28,HI,0
2020-1-29,HI,0
2020-1-30,HI,0
2020-1-31,HI,0
2020-2-1,HI,0
2020-2-2,HI,0
2020-2-3,HI,0
2020-2-4,HI,0
2020-2-5,HI,0
2020-2-6,HI,0
2020-2-7,HI,0
2020-2-8,HI,0
2020-2-9,HI,0
2020-2-10,HI,0
2020-2-11,HI,0
2020-2-12,HI,0
2020-2-13,HI,0
2020-2-14,HI,0
2020-2-15,HI,0
2020-2-16,HI,0
2020-2-17,HI,0
2020-2-18,HI,0
2020-2-19,HI,0
2020-2-20,HI,0
2020-2-21,HI,0
2020-2-22,HI,0
2020-2-23,HI,0
2020-2-24,HI,0
2020-2-25,HI,0
2020-2-26,HI,0
2020-2-27,HI,0
2020-2-28,HI,0
2020-2-29,HI,0
2020-3-1,HI,0
2020-3-2,HI,0
2020-3-3,HI,0
2020-3-4,HI,0
2020-3-5,HI,0
2020-3-6,HI,0.0
2020-3-7,HI,0.0
2020-3-8,HI,0.0
2020-3-9,HI,0.0
2020-3-10,HI,0.0
2020-3-11,HI,0.0
2020-3-12,HI,0.0
2020-3-13,HI,0.0
2020-3-14,HI,0.0
2020-3-15,HI,0.0
2020-3-16,HI,0.0
2020-3-17,HI,0.0
2020-3-18,HI,0.0
2020-3-19,HI,0.0
2020-3-20,HI,0.0
2020-3-21,HI,0.0
2020-3-22,HI,0.0
2020-3-23,HI,0.0
2020-3-24,HI,0.0
2020-3-25,HI,0.0
2020-3-26,HI,0.0
2020-3-27,HI,0.0
2020-3-28,HI,0.0
2020-3-29,HI,0.0
2020-3-30,HI,0.0
2020-3-31,HI,0.004464285714285714
2020-4-1,HI,0.003875968992248062
2020-4-2,HI,0.007067137809187279
2020-4-3,HI,0.00946372239747634
2020-4-4,HI,0.008595988538681949
2020-4-5,HI,0.01084010840108401
2020-4-6,HI,0.012987012987012988
2020-4-7,HI,0.012254901960784314
2020-4-8,HI,0.011547344110854504
2020-4-9,HI,0.013636363636363636
2020-4-10,HI,0.017278617710583154
2020-4-11,HI,0.01652892561983471
2020-4-12,HI,0.018108651911468814
2020-4-13,HI,0.017928286852589643
2020-4-14,HI,0.01761252446183953
2020-4-15,HI,0.01717557251908397
2020-4-16,HI,0.016822429906542057
2020-4-17,HI,0.016453382084095063
2020-4-18,HI,0.01584507042253521
2020-4-19,HI,0.017421602787456445
2020-4-20,HI,0.01730103806228374
2020-4-21,HI,0.020689655172413793
2020-4-22,HI,0.020477815699658702
2020-4-23,HI,0.020338983050847456
2020-4-24,HI,0.021848739495798318
2020-4-25,HI,0.023450586264656615
2020-4-26,HI,0.02337228714524207
2020-4-27,HI,0.02666666666666667
2020-4-28,HI,0.026578073089700997
2020-4-29,HI,0.026446280991735537
2020-4-30,HI,0.026272577996715927
2020-5-1,HI,0.02622950819672131
2020-5-2,HI,0.02618657937806874
2020-5-3,HI,0.027823240589198037
2020-5-4,HI,0.027777777777777776
2020-5-5,HI,0.027642276422764227
2020-5-6,HI,0.027597402597402596
2020-5-7,HI,0.027463651050080775
2020-5-8,HI,0.027463651050080775
2020-5-9,HI,0.027419354838709678
2020-5-10,HI,0.027375201288244767
2020-1-25,AK,0
2020-1-26,AK,0
2020-1-27,AK,0
2020-1-28,AK,0
2020-1-29,AK,0
2020-1-30,AK,0
2020-1-31,AK,0
2020-2-1,AK,0
2020-2-2,AK,0
2020-2-3,AK,0
2020-2-4,AK,0
2020-2-5,AK,0
2020-2-6,AK,0
2020-2-7,AK,0
2020-2-8,AK,0
2020-2-9,AK,0
2020-2-10,AK,0
2020-2-11,AK,0
2020-2-12,AK,0
2020-2-13,AK,0
2020-2-14,AK,0
2020-2-15,AK,0
2020-2-16,AK,0
2020-2-17,AK,0
2020-2-18,AK,0
2020-2-19,AK,0
2020-2-20,AK,0
2020-2-21,AK,0
2020-2-22,AK,0
2020-2-23,AK,0
2020-2-24,AK,0
2020-2-25,AK,0
2020-2-26,AK,0
2020-2-27,AK,0
2020-2-28,AK,0
2020-2-29,AK,0
2020-3-1,AK,0
2020-3-2,AK,0
2020-3-3,AK,0
2020-3-4,AK,0
2020-3-5,AK,0
2020-3-6,AK,0
2020-3-7,AK,0
2020-3-8,AK,0
2020-3-9,AK,0
2020-3-10,AK,0
2020-3-11,AK,0
2020-3-12,AK,0
2020-3-13,AK,0.0
2020-3-14,AK,0.0
2020-3-15,AK,0.0
2020-3-16,AK,0.0
2020-3-17,AK,0.0
2020-3-18,AK,0.0
2020-3-19,AK,0.0
2020-3-20,AK,0.0
2020-3-21,AK,0.0
2020-3-22,AK,0.0
2020-3-23,AK,0.0
2020-3-24,AK,0.0
2020-3-25,AK,0.0
2020-3-26,AK,0.0
2020-3-27,AK,0.011764705882352941
2020-3-28,AK,0.00980392156862745
2020-3-29,AK,0.008771929824561403
2020-3-30,AK,0.01680672268907563
2020-3-31,AK,0.015037593984962405
2020-4-1,AK,0.013986013986013986
2020-4-2,AK,0.0136986301369863
2020-4-3,AK,0.01282051282051282
2020-4-4,AK,0.01775147928994083
2020-4-5,AK,0.02185792349726776
2020-4-6,AK,0.021164021164021163
2020-4-7,AK,0.018957345971563982
2020-4-8,AK,0.022321428571428572
2020-4-9,AK,0.02145922746781116
2020-4-10,AK,0.020491803278688523
2020-4-11,AK,0.023529411764705882
2020-4-12,AK,0.022222222222222223
2020-4-13,AK,0.02181818181818182
2020-4-14,AK,0.024734982332155476
2020-4-15,AK,0.024054982817869417
2020-4-16,AK,0.02348993288590604
2020-4-17,AK,0.02280130293159609
2020-4-18,AK,0.022435897435897436
2020-4-19,AK,0.022082018927444796
2020-4-20,AK,0.0219435736677116
2020-4-21,AK,0.021406727828746176
2020-4-22,AK,0.021021021021021023
2020-4-23,AK,0.020895522388059702
2020-4-24,AK,0.020771513353115726
2020-4-25,AK,0.020771513353115726
2020-4-26,AK,0.02064896755162242
2020-4-27,AK,0.02040816326530612
2020-4-28,AK,0.02005730659025788
2020-4-29,AK,0.019830028328611898
2020-4-30,AK,0.019830028328611898
