day,state,num_cases
2020-2-12,TN,0
2020-2-13,TN,0
2020-2-14,TN,0
2020-2-15,TN,0
2020-2-16,TN,0
2020-2-17,TN,0
2020-2-18,TN,0
2020-2-19,TN,0
2020-2-20,TN,0
2020-2-21,TN,0
2020-2-22,TN,0
2020-2-23,TN,0
2020-2-24,TN,0
2020-2-25,TN,0
2020-2-26,TN,0
2020-2-27,TN,0
2020-2-28,TN,0
2020-2-29,TN,0
2020-3-1,TN,0
2020-3-2,TN,0
2020-3-3,TN,0
2020-3-4,TN,0
2020-3-5,TN,0
2020-3-6,TN,0
2020-3-7,TN,0
2020-3-8,TN,2
2020-3-9,TN,1
2020-3-10,TN,3
2020-3-11,TN,1
2020-3-12,TN,10
2020-3-13,TN,8
2020-3-14,TN,6
2020-3-15,TN,7
2020-3-16,TN,13
2020-3-17,TN,21
2020-3-18,TN,25
2020-3-19,TN,57
2020-3-20,TN,82
2020-3-21,TN,75
2020-3-22,TN,112
2020-3-23,TN,98
2020-3-24,TN,156
2020-3-25,TN,128
2020-3-26,TN,175
2020-3-27,TN,199
2020-3-28,TN,183
2020-3-29,TN,206
2020-3-30,TN,152
2020-3-31,TN,328
2020-4-1,TN,640
2020-4-2,TN,179
2020-4-3,TN,164
2020-4-4,TN,233
2020-4-5,TN,273
2020-4-6,TN,215
2020-4-7,TN,257
2020-4-8,TN,236
2020-4-9,TN,210
2020-4-10,TN,337
2020-4-11,TN,190
2020-4-12,TN,161
2020-4-13,TN,339
2020-4-14,TN,171
2020-4-15,TN,224
2020-4-16,TN,212
2020-4-17,TN,348
2020-4-18,TN,199
2020-4-19,TN,208
2020-4-20,TN,170
2020-4-21,TN,326
2020-4-22,TN,363
2020-4-23,TN,526
2020-4-24,TN,449
2020-4-25,TN,298
2020-4-26,TN,516
2020-4-27,TN,303
2020-4-28,TN,235
2020-4-29,TN,281
2020-4-30,TN,250
2020-5-1,TN,1291
2020-5-2,TN,592
2020-5-3,TN,489
2020-5-4,TN,409
2020-5-5,TN,272
2020-5-6,TN,181
2020-5-7,TN,370
2020-5-8,TN,110
2020-5-9,TN,399
2020-5-10,TN,385
2020-1-25,OR,0
2020-1-26,OR,0
2020-1-27,OR,0
2020-1-28,OR,0
2020-1-29,OR,0
2020-1-30,OR,0
2020-1-31,OR,0
2020-2-1,OR,0
2020-2-2,OR,0
2020-2-3,OR,0
2020-2-4,OR,0
2020-2-5,OR,0
2020-2-6,OR,0
2020-2-7,OR,0
2020-2-8,OR,0
2020-2-9,OR,0
2020-2-10,OR,0
2020-2-11,OR,0
2020-2-12,OR,0
2020-2-13,OR,0
2020-2-14,OR,0
2020-2-15,OR,0
2020-2-16,OR,0
2020-2-17,OR,0
2020-2-18,OR,0
2020-2-19,OR,0
2020-2-20,OR,0
2020-2-21,OR,0
2020-2-22,OR,0
2020-2-23,OR,0
2020-2-24,OR,0
2020-2-25,OR,0
2020-2-26,OR,0
2020-2-27,OR,0
2020-2-28,OR,0
2020-2-29,OR,0
2020-3-1,OR,1
2020-3-2,OR,0
2020-3-3,OR,0
2020-3-4,OR,0
2020-3-5,OR,0
2020-3-6,OR,0
2020-3-7,OR,4
2020-3-8,OR,7
2020-3-9,OR,0
2020-3-10,OR,1
2020-3-11,OR,6
2020-3-12,OR,10
2020-3-13,OR,0
2020-3-14,OR,6
2020-3-15,OR,3
2020-3-16,OR,7
2020-3-17,OR,20
2020-3-18,OR,8
2020-3-19,OR,13
2020-3-20,OR,27
2020-3-21,OR,23
2020-3-22,OR,24
2020-3-23,OR,30
2020-3-24,OR,18
2020-3-25,OR,57
