day,state,num_deaths
2020-3-26,OR,1
2020-3-27,OR,1
2020-3-28,OR,1
2020-3-29,OR,0
2020-3-30,OR,3
2020-3-31,OR,2
2020-4-1,OR,1
2020-4-2,OR,2
2020-4-3,OR,1
2020-4-4,OR,4
2020-4-5,OR,1
2020-4-6,OR,2
2020-4-7,OR,4
2020-4-8,OR,5
2020-4-9,OR,6
2020-4-10,OR,4
2020-4-11,OR,3
2020-4-12,OR,1
2020-4-13,OR,1
2020-4-14,OR,2
2020-4-15,OR,3
2020-4-16,OR,6
2020-4-17,OR,6
2020-4-18,OR,2
2020-4-19,OR,2
2020-4-20,OR,1
2020-4-21,OR,3
2020-4-22,OR,0
2020-4-23,OR,5
2020-4-24,OR,3
2020-4-25,OR,1
2020-4-26,OR,4
2020-4-27,OR,1
2020-4-28,OR,7
2020-4-29,OR,2
2020-4-30,OR,2
2020-5-1,OR,1
2020-5-2,OR,5
2020-5-3,OR,0
2020-5-4,OR,0
2020-5-5,OR,4
2020-5-6,OR,2
2020-5-7,OR,6
2020-5-8,OR,3
2020-5-9,OR,3
2020-5-10,OR,0
2020-1-25,DE,0
2020-1-26,DE,0
2020-1-27,DE,0
2020-1-28,DE,0
2020-1-29,DE,0
2020-1-30,DE,0
2020-1-31,DE,0
2020-2-1,DE,0
2020-2-2,DE,0
2020-2-3,DE,0
2020-2-4,DE,0
2020-2-5,DE,0
2020-2-6,DE,0
2020-2-7,DE,0
2020-2-8,DE,0
2020-2-9,DE,0
2020-2-10,DE,0
2020-2-11,DE,0
2020-2-12,DE,0
2020-2-13,DE,0
2020-2-14,DE,0
2020-2-15,DE,0
2020-2-16,DE,0
2020-2-17,DE,0
2020-2-18,DE,0
2020-2-19,DE,0
2020-2-20,DE,0
2020-2-21,DE,0
2020-2-22,DE,0
2020-2-23,DE,0
2020-2-24,DE,0
2020-2-25,DE,0
2020-2-26,DE,0
2020-2-27,DE,0
2020-2-28,DE,0
2020-2-29,DE,0
2020-3-1,DE,0
2020-3-2,DE,0
2020-3-3,DE,0
2020-3-4,DE,0
2020-3-5,DE,0
2020-3-6,DE,0
2020-3-7,DE,0
2020-3-8,DE,0
2020-3-9,DE,0
2020-3-10,DE,0
2020-3-11,DE,0
2020-3-12,DE,0
2020-3-13,DE,0
2020-3-14,DE,0
2020-3-15,DE,0
2020-3-16,DE,0
2020-3-17,DE,0
2020-3-18,DE,0
2020-3-19,DE,0
2020-3-20,DE,0
2020-3-21,DE,0
2020-3-22,DE,0
2020-3-23,DE,0
2020-3-24,DE,0
2020-3-25,DE,0
2020-3-26,DE,1
2020-3-27,DE,1
2020-3-28,DE,3
2020-3-29,DE,1
2020-3-30,DE,1
2020-3-31,DE,3
2020-4-1,DE,1
2020-4-2,DE,1
2020-4-3,DE,2
2020-4-4,DE,0
2020-4-5,DE,0
2020-4-6,DE,1
2020-4-7,DE,1
2020-4-8,DE,3
2020-4-9,DE,4
2020-4-10,DE,9
2020-4-11,DE,1
2020-4-12,DE,2
2020-4-13,DE,6
2020-4-14,DE,2
2020-4-15,DE,3
2020-4-16,DE,6
2020-4-17,DE,9
2020-4-18,DE,6
2020-4-19,DE,0
2020-4-20,DE,5
2020-4-21,DE,10
2020-4-22,DE,7
2020-4-23,DE,3
2020-4-24,DE,8
2020-4-25,DE,12
2020-4-26,DE,8
2020-4-27,DE,5
2020-4-28,DE,12
2020-4-29,DE,7
2020-4-30,DE,8
2020-5-1,DE,7
2020-5-2,DE,9
2020-5-3,DE,9
2020-5-4,DE,5
2020-5-5,DE,5
2020-5-6,DE,6
2020-5-7,DE,9
2020-5-8,DE,11
2020-5-9,DE,8
2020-5-10,DE,3
2020-1-25,NY,0
2020-1-26,NY,0
2020-1-27,NY,0
2020-1-28,NY,0
2020-1-29,NY,0
2020-1-30,NY,0
2020-1-31,NY,0
2020-2-1,NY,0
2020-2-2,NY,0
2020-2-3,NY,0
2020-2-4,NY,0
2020-2-5,NY,0
2020-2-6,NY,0
2020-2-7,NY,0
2020-2-8,NY,0
2020-2-9,NY,0
2020-2-10,NY,0
2020-2-11,NY,0
2020-2-12,NY,0
2020-2-13,NY,0
2020-2-14,NY,0
2020-2-15,NY,0
2020-2-16,NY,0
2020-2-17,NY,0
2020-2-18,NY,0
2020-2-19,NY,0
2020-2-20,NY,0
2020-2-21,NY,0
2020-2-22,NY,0
2020-2-23,NY,0
2020-2-24,NY,0
2020-2-25,NY,0
2020-2-26,NY,0
2020-2-27,NY,0
